order_id,order_date,planned_delivery,actual_delivery,release,client,region,destination,origin,cargo_type,transport_type,distance_km,weight_kg,revenue,cost_fuel,cost_driver,cost_warehouse,cost_tolls,cost_other,total_cost,profit,status,on_time,in_full,otif
LH-10035,2024-01-10,2024-01-12,2024-01-12,v1.0,ИП Ковалёв,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Электроника,Газель,643,199.9,27993.53,9539.35,6986.94,481.14,1403.94,492.64,18904.01,9089.52,Доставлен,1,0,0
LH-10036,2024-01-10,2024-01-12,2024-01-12,v1.0,АО «ВостокМед»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Стройматериалы,Фура,690,7225.0,59600.03,27940.54,8309.26,3066.17,1852.23,350.04,41518.24,18081.79,Доставлен,1,1,1
LH-10037,2024-01-11,2024-01-13,2024-01-13,v1.0,ООО «ХабЭлектро»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Контейнер (ж/д),343,17871.5,34377.6,7735.72,7700.77,7375.02,0.0,971.82,23783.33,10594.27,Доставлен,1,1,1
LH-10038,2024-01-11,2024-01-15,2024-01-15,v1.0,ООО «ТехноДВ»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Мебель,Фура,1892,1776.5,156561.36,75993.3,15276.57,1453.61,4939.58,365.37,98028.43,58532.93,Доставлен,1,1,1
LH-10039,2024-01-11,2024-01-14,2024-01-16,v1.0,ООО «ДальФуд»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Электроника,Газель,1327,568.1,54630.96,17614.45,16980.0,657.1,4003.91,6754.23,46009.69,8621.27,Доставлен,0,1,0
LH-10040,2024-01-11,2024-01-13,2024-01-13,v1.0,ООО «ТехноДВ»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,401,4968.0,40857.12,15080.69,6796.69,2999.46,1008.46,927.1,26812.4,14044.72,Доставлен,1,1,1
LH-10041,2024-01-12,2024-01-14,2024-01-14,v1.0,ООО «ПримТорг»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Мебель,Фура,350,3300.9,32946.32,14471.29,6432.3,2288.82,803.34,330.61,24326.36,8619.96,Доставлен,1,1,1
LH-10042,2024-01-12,2024-01-15,2024-01-15,v1.0,АО «СахалинСнаб»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,1107,4169.4,115044.92,42690.05,10987.74,2794.91,2096.3,594.0,59163.0,55881.92,Доставлен,1,1,1
LH-10043,2024-01-12,2024-01-14,2024-01-16,v1.0,ООО «АптекаПлюс»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,407,23358.0,50258.4,15793.1,14829.58,13632.72,1157.65,5807.94,51220.99,-962.59,Доставлен,0,1,0
LH-10044,2024-01-12,2024-01-14,2024-01-18,v1.0,АО «СахалинСнаб»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,350,482.4,18099.11,4628.06,25047.63,664.47,1074.36,4564.39,35978.91,-17879.8,Доставлен,0,0,0
LH-10045,2024-01-12,2024-01-14,2024-01-14,v1.0,ООО «ТехноДВ»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,355,5350.6,40060.83,14542.45,8305.43,2367.37,736.19,586.65,26538.09,13522.74,Доставлен,1,1,1
LH-10046,2024-01-13,2024-01-16,2024-01-17,v1.0,ООО «ДальФуд»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Стройматериалы,Контейнер (ж/д),632,18582.7,52859.54,13490.56,15686.6,8999.69,0.0,3576.22,41753.07,11106.47,Доставлен,0,1,0
LH-10047,2024-01-13,2024-01-15,2024-01-15,v1.0,ООО «ДальФуд»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Фура,823,4277.8,69031.21,32713.28,6778.63,2805.29,1960.69,1481.02,45738.91,23292.3,Доставлен,1,1,1
LH-10048,2024-01-14,2024-01-16,2024-01-17,v1.0,ООО «МебельГрад»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,472,1231.9,24287.95,6786.25,10602.41,848.07,1150.02,2709.27,22096.02,2191.93,Доставлен,0,1,0
LH-10049,2024-01-14,2024-01-16,2024-01-16,v1.0,АО «СахалинСнаб»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Стройматериалы,Фура,617,10677.1,54666.3,24107.13,7627.78,5466.15,1742.47,1306.89,40250.42,14415.88,Доставлен,1,1,1
LH-10050,2024-01-14,2024-01-17,2024-01-17,v1.0,ИП Ковалёв,Приморский край,Владивосток,Комсомольск-на-Амуре,Стройматериалы,Фура,1042,8813.1,86229.83,38280.03,10056.64,3821.9,2120.66,1091.3,55370.53,30859.3,Доставлен,1,0,0
LH-10051,2024-01-14,2024-01-16,2024-01-16,v1.0,АО «ВостокМед»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,474,961.1,23286.26,6199.32,8181.72,835.54,948.62,407.3,16572.5,6713.76,Доставлен,1,1,1
LH-10052,2024-01-15,2024-01-17,2024-01-17,v1.0,ООО «ХабЭлектро»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,311,387.6,15650.6,4733.39,7659.12,591.04,909.51,665.95,14559.01,1091.59,Доставлен,1,1,1
LH-10053,2024-01-15,2024-01-17,2024-01-19,v1.0,АО «СахалинСнаб»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,446,11059.6,41507.15,18404.75,13303.09,6539.51,1244.39,4601.57,44093.31,-2586.16,Доставлен,0,0,0
LH-10054,2024-01-15,2024-01-18,2024-01-18,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Мебель,Фура,985,2343.9,87234.52,38381.3,11573.1,1586.9,2129.6,369.48,54040.38,33194.14,Доставлен,1,1,1
LH-10055,2024-01-15,2024-01-17,2024-01-19,v1.0,ООО «ХабЭлектро»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Мебель,Фура,424,4100.5,39222.6,16364.82,16187.73,2284.11,1158.39,4772.28,40767.33,-1544.73,Доставлен,0,1,0
LH-10056,2024-01-15,2024-01-18,2024-01-18,v1.0,ООО «ДВ Логистик»,Приморский край,Владивосток,Комсомольск-на-Амуре,Мебель,Фура,1085,4303.6,89407.04,39317.51,9944.64,2589.68,3296.79,563.96,55712.58,33694.46,Доставлен,1,1,1
LH-10057,2024-01-16,2024-01-21,2024-01-21,v1.0,АО «СахалинСнаб»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,1926,2876.5,194907.32,85028.09,18945.09,1424.4,4132.77,725.58,110255.93,84651.39,Доставлен,1,1,1
LH-10058,2024-01-16,2024-01-20,2024-01-20,v1.0,ООО «ПримТорг»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Мебель,Фура,1438,1684.1,136857.57,54441.02,16251.1,1267.33,3202.34,871.2,76032.99,60824.58,Доставлен,1,1,1
LH-10059,2024-01-16,2024-01-18,2024-01-18,v1.0,ИП Ковалёв,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Одежда и обувь,Газель,417,1171.0,19105.54,6026.55,7400.35,1045.39,878.42,1457.56,16808.27,2297.27,Доставлен,1,1,1
LH-10060,2024-01-16,2024-01-18,2024-01-22,v1.0,ООО «ПримТорг»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,450,6585.6,39666.44,18509.35,22617.26,3676.73,1303.69,8957.5,55064.53,-15398.09,Доставлен,0,0,0
LH-10061,2024-01-17,2024-01-19,2024-01-19,v1.0,ИП Ковалёв,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,471,490.6,23778.15,6216.62,7434.34,575.61,1427.44,825.84,16479.85,7298.3,Доставлен,1,0,0
LH-10062,2024-01-17,2024-01-19,,v1.0,ООО «Модный Дом»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,355,436.7,0.0,0.0,0.0,622.84,0.0,382.71,1005.55,-1005.55,Отменён,0,0,0
LH-10063,2024-01-17,2024-01-21,2024-01-21,v1.0,АО «СахалинСнаб»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Стройматериалы,Фура,1565,5149.6,127712.98,64329.62,14183.69,3158.68,3970.42,792.02,86434.43,41278.55,Доставлен,1,1,1
LH-10064,2024-01-17,2024-01-19,2024-01-19,v1.0,ООО «АптекаПлюс»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,362,8325.9,42289.06,14652.08,8306.77,4466.5,911.53,1221.63,29558.51,12730.55,Доставлен,1,1,1
LH-10065,2024-01-17,2024-01-20,2024-01-21,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,1126,6906.3,115412.18,43087.61,16798.8,3579.63,3588.74,6176.47,73231.25,42180.93,Доставлен,0,1,0
LH-10066,2024-01-17,2024-01-19,2024-01-19,v1.0,ООО «АмурСтрой»,Приморский край,Владивосток,Комсомольск-на-Амуре,Стройматериалы,Фура,812,7427.4,71647.71,31338.9,8133.0,4593.22,2311.57,1386.24,47762.93,23884.78,Доставлен,1,1,1
LH-10067,2024-01-18,2024-01-20,2024-01-20,v1.0,АО «ВостокМед»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,387,8714.4,38725.09,15200.44,6419.52,5506.16,1220.51,1420.75,29767.38,8957.71,Доставлен,1,1,1
LH-10068,2024-01-18,2024-01-20,2024-01-20,v1.0,ИП Ковалёв,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,499,10280.7,45777.92,20094.7,7180.24,5903.26,987.1,906.51,35071.81,10706.11,Доставлен,1,0,0
LH-10069,2024-01-18,2024-01-20,2024-01-20,v1.0,АО «ВостокМед»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,312,9940.1,31856.86,11167.83,7409.08,5080.88,759.65,1074.21,25491.65,6365.21,Доставлен,1,1,1
LH-10070,2024-01-18,2024-01-20,2024-01-20,v1.0,ООО «ТехноДВ»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,320,2028.0,32391.25,12418.21,8039.27,1497.62,661.7,731.41,23348.21,9043.04,Доставлен,1,1,1
LH-10071,2024-01-19,2024-01-21,2024-01-21,v1.0,ООО «ДальФуд»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,334,648.3,17731.97,4585.78,7339.58,780.06,608.65,1206.86,14520.93,3211.04,Доставлен,1,1,1
LH-10072,2024-01-19,2024-01-22,2024-01-22,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Стройматериалы,Контейнер (ж/д),976,12818.0,60851.35,20779.02,11004.95,7156.51,0.0,1244.71,40185.19,20666.16,Доставлен,1,1,1
LH-10073,2024-01-19,2024-01-22,2024-01-22,v1.0,ООО «АмурСтрой»,Приморский край,Владивосток,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,939,1690.6,91550.65,39232.87,9887.89,1204.03,2748.27,1381.01,54454.07,37096.58,Доставлен,1,1,1
LH-10074,2024-01-19,2024-01-22,2024-01-22,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Электроника,Газель,1181,881.2,52804.63,18130.91,10586.69,768.72,3668.73,321.65,33476.7,19327.93,Доставлен,1,1,1
LH-10075,2024-01-20,2024-01-22,2024-01-22,v1.0,ООО «ДВ Логистик»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,317,6663.9,38457.02,13260.07,8050.03,3583.43,866.93,1240.53,27000.99,11456.03,Доставлен,1,1,1
LH-10076,2024-01-20,2024-01-22,2024-01-22,v1.0,ООО «ДальФуд»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Стройматериалы,Фура,406,3692.4,35640.06,16563.66,7742.72,1954.72,1149.26,662.65,28073.01,7567.05,Доставлен,1,1,1
LH-10077,2024-01-20,2024-01-22,2024-01-22,v1.0,АО «ВостокМед»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Продукты питания,Фура,602,7521.6,60856.76,23661.07,6692.46,4498.06,1140.77,1151.04,37143.4,23713.36,Доставлен,1,1,1
LH-10078,2024-01-21,2024-01-23,2024-01-23,v1.0,ООО «АптекаПлюс»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,370,6272.9,46136.15,14599.58,6456.55,3392.09,1042.3,858.19,26348.71,19787.44,Доставлен,1,1,1
LH-10079,2024-01-22,2024-01-24,2024-01-24,v1.0,ООО «АмурСтрой»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,532,3606.5,62117.5,23840.06,6815.77,1866.62,1383.47,1102.6,35008.52,27108.98,Доставлен,1,0,0
LH-10080,2024-01-22,2024-01-25,2024-01-25,v1.0,ООО «ПримТорг»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Одежда и обувь,Фура,1296,2047.3,107719.86,47616.06,10416.97,1427.9,4017.14,1057.15,64535.22,43184.64,Доставлен,1,0,0
LH-10081,2024-01-22,2024-01-24,2024-01-24,v1.0,ООО «ДВ Логистик»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,452,695.0,21854.98,6635.5,7635.37,746.4,1236.59,482.9,16736.76,5118.22,Доставлен,1,1,1
LH-10082,2024-01-22,2024-01-24,2024-01-25,v1.0,ООО «ХабЭлектро»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Рефрижератор,431,2943.1,48185.52,18253.14,11419.73,1922.95,891.71,3718.08,36205.61,11979.91,Доставлен,0,1,0
LH-10083,2024-01-22,2024-01-26,2024-01-26,v1.0,ООО «ПримТорг»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Одежда и обувь,Газель,1816,820.4,62727.72,23640.8,13590.48,785.89,5323.28,1001.78,44342.23,18385.49,Доставлен,1,0,0
LH-10084,2024-01-23,2024-01-27,2024-01-27,v1.0,ООО «ДВ Логистик»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Мебель,Фура,1378,4376.0,117444.38,56701.13,15707.45,2804.79,3685.63,991.02,79890.02,37554.36,Доставлен,1,1,1
LH-10085,2024-01-23,2024-01-26,2024-01-26,v1.0,ООО «АмурСтрой»,Сахалинская область,Южно-Сахалинск,Комсомольск-на-Амуре,Стройматериалы,Фура,1223,9402.1,107972.55,49798.3,12408.41,5387.81,3764.53,1489.05,72848.1,35124.45,Доставлен,1,1,1
LH-10086,2024-01-23,2024-01-25,2024-01-25,v1.0,ООО «ДВ Логистик»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Электроника,Газель,344,781.0,16575.08,5141.24,7842.55,737.96,893.27,553.78,15168.8,1406.28,Доставлен,1,1,1
LH-10087,2024-01-23,2024-01-27,2024-01-27,v1.0,ООО «АптекаПлюс»,Амурская область,Благовещенск,Комсомольск-на-Амуре,Медикаменты,Рефрижератор,1618,167.5,180536.19,62937.96,14593.36,493.19,4113.78,1237.12,83375.41,97160.78,Доставлен,1,1,1
LH-10088,2024-01-23,2024-01-25,2024-01-25,v1.0,АО «СахалинСнаб»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Продукты питания,Фура,425,4890.4,42416.3,17754.05,6609.3,3064.77,789.62,1018.9,29236.64,13179.66,Доставлен,1,1,1
LH-10089,2024-01-24,2024-01-27,2024-01-27,v1.0,АО «СахалинСнаб»,Приморский край,Владивосток,Комсомольск-на-Амуре,Стройматериалы,Фура,1290,10466.9,108585.41,53096.19,11475.37,4409.31,2417.23,664.52,72062.62,36522.79,Доставлен,1,1,1
LH-10090,2024-01-24,2024-01-27,2024-01-27,v1.0,ООО «Модный Дом»,Приморский край,Владивосток,Комсомольск-на-Амуре,Медикаменты,Рефрижератор,900,673.6,112512.66,39947.92,12071.4,682.6,2010.43,735.65,55448.0,57064.66,Доставлен,1,1,1
LH-10091,2024-01-25,2024-01-28,2024-01-30,v1.0,ООО «АптекаПлюс»,Приморский край,Владивосток,Комсомольск-на-Амуре,Электроника,Газель,954,670.2,43483.15,14221.65,17582.25,697.16,2077.19,4671.92,39250.17,4232.98,Доставлен,0,1,0
LH-10092,2024-01-25,2024-01-28,2024-01-28,v1.0,ООО «ТехноДВ»,Приморский край,Владивосток,Комсомольск-на-Амуре,Электроника,Газель,928,1439.5,38366.09,13125.49,11222.35,948.83,2873.71,1066.59,29236.97,9129.12,Доставлен,1,1,1
LH-10093,2024-01-25,2024-01-27,2024-01-27,v1.0,ООО «АмурСтрой»,Хабаровский край,Хабаровск,Комсомольск-на-Амуре,Медикаменты,Газель,418,371.6,19437.28,5638.06,6493.98,602.6,960.48,443.37,14138.49,5298.79,Доставлен,1,1,1
LH-10094,2024-01-25,2024-01-28,2024-01-31,v1.0,ИП Ковалёв,Амурская область,Благовещенск,Комсомольск-на-Амуре,Одежда и обувь,Газель,1263,758.4,43732.24,16252.55,20700.15,843.97,3077.7,7589.67,48464.04,-4731.8,Доставлен,0,0,0
LH-10095,2024-01-26,2024-01-28,2024-01-28,v1.0,ООО «Модный Дом»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Продукты питания,Фура,606,2935.2,52902.68,22546.74,7068.77,1489.27,1893.61,343.25,33341.64,19561.04,Доставлен,1,0,0
LH-10096,2024-01-26,2024-01-28,2024-01-28,v1.0,АО «СахалинСнаб»,Еврейская АО,Биробиджан,Комсомольск-на-Амуре,Стройматериалы,Фура,597,5836.0,47779.46,21358.14,6968.7,3123.55,1304.69,1194.1,33949.18,13830.28,Доставлен,1,1,1
